year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2024,4,27,43.4 B,Zhang,Yiming,Zhang Yiming,1/1/1984,40,Male,China,Singapore,Singapore,Technology,['Technology'],ByteDance,Founder,TRUE,Decreased
2024,4,29,42.8 B,Yanai,Tadashi,Tadashi Yanai & family,2/7/1949,75,Male,Japan,Japan,Tokyo,Fashion & Retail,['Fashion & Retail'],,,TRUE,Increased
2024,4,30,40.9 B,Knight,Phil,Phil Knight & family,2/24/1938,86,Male,United States,United States,Hillsboro,Fashion & Retail,['Fashion & Retail'],Nike,Chairman,TRUE,Decreased
2024,4,31,39.6 B,Mateschitz,Mark,Mark Mateschitz,5/7/1992,31,Male,Austria,Austria,Salzburg,Food & Beverage,['Food & Beverage'],,,FALSE,Increased
2024,4,32,39.2 B,Kuehne,Klaus-Michael,Klaus-Michael Kuehne,6/2/1937,86,Male,Germany,Switzerland,Schindellegi,Logistics,['Logistics'],,,FALSE,Increased
2024,4,33,38.9 B,Huang,Colin,Colin Huang,2/2/1980,44,Male,China,China,Shanghai,Technology,['Technology'],,,TRUE,Increased
2024,4,34,38.8 B,Schwarzman,Stephen,Stephen Schwarzman,2/14/1947,77,Male,United States,United States,New York,Finance & Investments,['Finance & Investments'],Blackstone,Chairman and CEO,TRUE,Increased
2024,4,35,38.5 B,Mars,Jacqueline,Jacqueline Mars,10/10/1939,84,Female,United States,United States,The Plains,Food & Beverage,['Food & Beverage'],,,FALSE,Increased
2024,4,35,38.5 B,Mars,John,John Mars,10/15/1935,88,Male,United States,United States,Jackson,Food & Beverage,['Food & Beverage'],,,FALSE,Increased
2024,4,37,38.0 B,Schwarz,Dieter,Dieter Schwarz,9/24/1939,84,Male,Germany,Germany,Neckarsulm,Fashion & Retail,['Fashion & Retail'],,,FALSE,Decreased
2024,4,38,37.3 B,Li,Ka-shing,Li Ka-shing,6/13/1928,95,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],CK Hutchison Holdings,Senior Advisor,TRUE,Decreased
2024,4,39,36.9 B,Nadar,Shiv,Shiv Nadar,7/18/1945,78,Male,India,India,Delhi,Technology,['Technology'],,,TRUE,Increased
2024,4,40,36.8 B,Wertheimer,Alain,Alain Wertheimer,8/28/1948,75,Male,France,United States,New York,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,40,36.8 B,Wertheimer,Gerard,Gerard Wertheimer,1/9/1951,73,Male,France,United States,New York,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,42,36.4 B,Griffin,Ken,Ken Griffin,10/15/1968,55,Male,United States,United States,Miami,Finance & Investments,['Finance & Investments'],Citadel LLC,Founder & CEO,TRUE,Increased
2024,4,43,35.6 B,Scott,MacKenzie,MacKenzie Scott,4/7/1970,53,Female,United States,United States,Seattle,Technology,['Technology'],,Philanthropist,FALSE,Increased
2024,4,44,34.0 B,Peterffy,Thomas,Thomas Peterffy,9/30/1944,79,Male,United States,United States,Palm Beach,Finance & Investments,['Finance & Investments'],,,TRUE,Increased
2024,4,45,33.6 B,Wuerth,Reinhold,Reinhold Wuerth & family,4/20/1935,88,Male,Germany,Germany,Kuenzelsau,Manufacturing,['Manufacturing'],,,TRUE,Increased
2024,4,46,33.5 B,Ding,William,William Ding,10/1/1971,52,Male,China,China,Hangzhou,Technology,['Technology'],,,TRUE,Increased
2024,4,46,33.5 B,Jindal,Savitri,Savitri Jindal & family,3/20/1950,74,Female,India,India,Hisar,Metals & Mining,['Metals & Mining'],,,FALSE,Increased
2024,4,48,33.1 B,Aponte,Gianluigi,Gianluigi Aponte,6/27/1940,83,Male,Switzerland,Switzerland,Geneva,Logistics,['Logistics'],,,TRUE,Increased
2024,4,48,33.1 B,Aponte-Diamant,Rafaela,Rafaela Aponte-Diamant,3/26/1945,79,Female,Switzerland,Switzerland,Geneva,Logistics,['Logistics'],,,TRUE,Increased
2024,4,50,33.0 B,Zhao,Changpeng,Changpeng Zhao,2/5/1977,47,Male,Canada,United Arab Emirates,Dubai,Finance & Investments,['Finance & Investments'],,,TRUE,Increased
2024,4,51,32.7 B,Son,Masayoshi,Masayoshi Son,8/11/1957,66,Male,Japan,Japan,Tokyo,Finance & Investments,['Finance & Investments'],Softbank,CEO,TRUE,Increased
2024,4,52,32.1 B,Blavatnik,Len,Len Blavatnik,6/1/1957,66,Male,United States,United Kingdom,London,Diversified,['Diversified'],,,TRUE,Remained Even
2024,4,53,32.0 B,Adelson,Miriam,Miriam Adelson & family,10/10/1945,78,Female,United States,United States,Las Vegas,Gambling & Casinos,['Gambling & Casinos'],,,FALSE,Decreased
2024,4,54,31.6 B,Pinault,François,François Pinault & family,8/21/1936,87,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,TRUE,Decreased
2024,4,55,31.4 B,Simons,Jim,Jim Simons,4/25/1938,85,Male,United States,United States,East Setauket,Finance & Investments,['Finance & Investments'],Renaissance Technologies Corp.,Founder,TRUE,Increased
2024,4,56,30.8 B,Rinehart,Gina,Gina Rinehart,2/9/1954,70,Female,Australia,Australia,Perth,Metals & Mining,['Metals & Mining'],Hancock Prospecting,Executive Chairman,FALSE,Increased
2024,4,57,30.2 B,Ma,Huateng,Ma Huateng,10/29/1971,52,Male,China,China,Shenzhen,Technology,['Technology'],Tencent Holdings,Chairman and CEO,TRUE,Decreased
2024,4,58,29.0 B,Johnson,Abigail,Abigail Johnson,12/19/1961,62,Female,United States,United States,Milton,Finance & Investments,['Finance & Investments'],Fidelity Investments,Chairman & CEO,FALSE,Increased
2024,4,59,28.6 B,Alekperov,Vagit,Vagit Alekperov,9/1/1950,73,Male,Russia,Russia,Moscow,Energy,['Energy'],,,TRUE,Increased
2024,4,60,28.0 B,Saverin,Eduardo,Eduardo Saverin,3/19/1982,42,Male,Brazil,Singapore,Singapore,Technology,['Technology'],Meta Platforms,Investor,TRUE,Increased
2024,4,60,28.0 B,Walton,Lukas,Lukas Walton,9/19/1986,37,Male,United States,United States,Chicago,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,62,27.9 B,Larrea Mota Velasco,Germán,Germán Larrea Mota Velasco & family,10/26/1953,70,Male,Mexico,Mexico,Mexico City,Metals & Mining,['Metals & Mining'],,,FALSE,Increased
2024,4,63,27.7 B,Lee,Shau Kee,Lee Shau Kee,1/29/1928,96,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,TRUE,Decreased
2024,4,64,27.6 B,Yass,Jeff,Jeff Yass,7/17/1958,65,Male,United States,United States,Haverford,Finance & Investments,['Finance & Investments'],,,TRUE,Decreased
2024,4,65,27.5 B,Pignataro,Andrea,Andrea Pignataro,6/10/1970,53,Male,Italy,Switzerland,St. Moritz,Finance & Investments,['Finance & Investments'],,,TRUE,
2024,4,66,27.4 B,Low Tuck,Kwong,Low Tuck Kwong,4/17/1948,75,Male,Indonesia,Indonesia,Jakarta,Energy,['Energy'],,,TRUE,Increased
2024,4,66,27.4 B,Mikhelson,Leonid,Leonid Mikhelson & family,8/11/1955,68,Male,Russia,Russia,Moscow,Energy,['Energy'],,,TRUE,Increased
2024,4,68,27.3 B,Quandt,Stefan,Stefan Quandt,5/9/1966,57,Male,Germany,Germany,Frankfurt,Automotive,['Automotive'],,,FALSE,Increased
2024,4,69,26.7 B,Shanghvi,Dilip,Dilip Shanghvi,10/1/1955,68,Male,India,India,Mumbai,Healthcare,['Healthcare'],,,TRUE,Increased
2024,4,70,26.6 B,Lisin,Vladimir,Vladimir Lisin,5/7/1956,67,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,TRUE,Increased
2024,4,71,26.5 B,Hartono,R. Budi,R. Budi Hartono,1/1/1941,83,Male,Indonesia,Indonesia,Kudus,Finance & Investments,['Finance & Investments'],,,FALSE,Increased
2024,4,71,26.5 B,Klatten,Susanne,Susanne Klatten,4/28/1962,61,Female,Germany,Germany,Bad Homburg,Automotive,['Automotive'],,,FALSE,Decreased
2024,4,73,26.2 B,Frist,Thomas,"Thomas Frist, Jr. & family",8/12/1938,85,Male,United States,United States,Nashville,Healthcare,['Healthcare'],,,TRUE,Increased
2024,4,73,26.2 B,Gilbert,Daniel,Daniel Gilbert,1/17/1962,62,Male,United States,United States,Franklin,Finance & Investments,['Finance & Investments'],,,TRUE,Increased
2024,4,75,25.7 B,Fontbona,Iris,Iris Fontbona & family,1/1/1943,81,Female,Chile,Chile,Santiago,Metals & Mining,['Metals & Mining'],,,FALSE,Increased
2024,4,76,25.5 B,Besnier,Emmanuel,Emmanuel Besnier,9/18/1970,53,Male,France,France,Laval,Food & Beverage,['Food & Beverage'],,,FALSE,Increased
2024,4,76,25.5 B,Hartono,Michael,Michael Hartono,10/2/1939,84,Male,Indonesia,Indonesia,Kudus,Manufacturing,['Manufacturing'],,,FALSE,Increased
2024,4,76,25.5 B,Mordashov,Alexey,Alexey Mordashov & family,9/26/1965,58,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,TRUE,Increased
2024,4,79,25.2 B,Menard,John,"John Menard, Jr.",1/22/1940,84,Male,United States,United States,Eau Claire,Fashion & Retail,['Fashion & Retail'],"Menard, Inc.",Founder,TRUE,Increased
2024,4,80,25.1 B,He,Xiangjian,He Xiangjian & family,8/11/1942,81,Male,China,China,Foshan,Manufacturing,['Manufacturing'],,,TRUE,Increased
2024,4,81,24.5 B,Ma,Jack,Jack Ma,9/10/1964,59,Male,China,China,Hangzhou,Technology,['Technology'],,,TRUE,Increased
2024,4,81,24.5 B,Marshall,Elaine,Elaine Marshall & family,7/22/1942,81,Female,United States,United States,Dallas,Diversified,['Diversified'],,Investor,FALSE,Returned to List
2024,4,83,24.3 B,Stephens,Autry,Autry Stephens,3/8/1938,86,Male,United States,United States,Midland,Energy,['Energy'],,,TRUE,Increased
2024,4,84,24.0 B,Ofer,Eyal,Eyal Ofer,6/2/1950,73,Male,Israel,Monaco,Monte Carlo,Diversified,['Diversified'],,,FALSE,Increased
2024,4,85,23.7 B,Potanin,Vladimir,Vladimir Potanin,1/3/1961,63,Male,Russia,Russia,Moscow,Metals & Mining,['Metals & Mining'],,,TRUE,Remained Even
2024,4,86,23.4 B,Timchenko,Gennady,Gennady Timchenko,11/9/1952,71,Male,Russia,Russia,Moscow,Energy,['Energy'],,,TRUE,Increased
2024,4,87,23.1 B,Takizaki,Takemitsu,Takemitsu Takizaki,6/10/1945,78,Male,Japan,Japan,Osaka,Manufacturing,['Manufacturing'],,,TRUE,Increased
2024,4,88,23.0 B,Adani,Vinod,Vinod Adani,1/10/1949,75,Male,Cyprus,United Arab Emirates,Dubai,Diversified,['Diversified'],,,TRUE,Increased
2024,4,89,22.9 B,Zeng,Robin,Robin Zeng,1/1/1969,55,Male,Hong Kong,China,Ningde,Automotive,['Automotive'],,,TRUE,Decreased
2024,4,90,21.3 B,Poonawalla,Cyrus,Cyrus Poonawalla,5/11/1941,82,Male,India,India,Pune,Healthcare,['Healthcare'],,,FALSE,Decreased
2024,4,91,21.1 B,Melnichenko,Andrey,Andrey Melnichenko & family,3/8/1972,52,Male,Russia,United Arab Emirates,Ras Al Khaimah,Metals & Mining,['Metals & Mining'],,,TRUE,Decreased
2024,4,92,20.9 B,Hendricks,Diane,Diane Hendricks,3/2/1947,77,Female,United States,United States,Afton,Construction & Engineering,['Construction & Engineering'],ABC Supply,Cofounder,TRUE,Increased
2024,4,92,20.9 B,Singh,Kushal Pal,Kushal Pal Singh,8/15/1931,92,Male,India,United Kingdom,London,Real Estate,['Real Estate'],,,FALSE,Increased
2024,4,94,20.6 B,Safra,Vicky,Vicky Safra & family,1/1/1953,71,Female,Brazil,Switzerland,Crans-Montana,Finance & Investments,['Finance & Investments'],,,FALSE,Increased
2024,4,94,20.6 B,Schmidt,Eric,Eric Schmidt,4/27/1955,68,Male,United States,United States,Atherton,Technology,['Technology'],,,TRUE,Increased
2024,4,94,20.6 B,Tepper,David,David Tepper,9/11/1957,66,Male,United States,United States,Palm Beach,Finance & Investments,['Finance & Investments'],Appaloosa Management,President and Founder,TRUE,Increased
2024,4,97,19.8 B,Cohen,Steve,Steve Cohen,6/11/1956,67,Male,United States,United States,Greenwich,Finance & Investments,['Finance & Investments'],Point72 Asset Management,Founder,TRUE,Increased
2024,4,98,19.7 B,Birla,Kumar,Kumar Birla,6/14/1967,56,Male,India,India,Mumbai,Diversified,['Diversified'],,,FALSE,Increased
2024,4,99,19.6 B,Cohen,Rick,Rick Cohen & family,7/25/1952,71,Male,United States,United States,Keene,Technology,['Technology'],,Entrepreneur,FALSE,Increased
2024,4,100,19.5 B,Murdoch,Rupert,Rupert Murdoch & family,3/11/1931,93,Male,United States,United States,New York,Media & Entertainment,['Media & Entertainment'],News Corp,Chairman and CEO,FALSE,Increased
2024,4,101,19.0 B,Forrest,Andrew ,Andrew Forrest & family,11/18/1961,62,Male,Australia,Australia,Perth,Metals & Mining,['Metals & Mining'],,,TRUE,Decreased
2024,4,102,18.5 B,Hamm,Harold,Harold Hamm & family,12/11/1945,78,Male,United States,United States,Oklahoma City,Energy,['Energy'],Continental Resources Inc. ,Chairman and CEO,TRUE,Remained Even
2024,4,103,18.3 B,Moskovitz,Dustin,Dustin Moskovitz,5/22/1984,39,Male,United States,United States,San Francisco,Technology,['Technology'],Asana,Cofounder,TRUE,Increased
2024,4,104,18.0 B,Bren,Donald,Donald Bren,5/11/1932,91,Male,United States,United States,Newport Beach,Real Estate,['Real Estate'],Irvine Company,Chairman,TRUE,Increased
2024,4,104,18.0 B,Kellnerova,Renata,Renata Kellnerova & family,7/4/1967,56,Female,Czech Republic,Czech Republic,Prague,Finance & Investments,['Finance & Investments'],,,FALSE,Increased
2024,4,104,18.0 B,Platt,Michael,Michael Platt,3/18/1968,56,Male,United Kingdom,Switzerland,Geneva,Finance & Investments,['Finance & Investments'],BlueCrest Capital Management,Founder ,TRUE,Increased
2024,4,107,17.6 B,Damani,Radhakishan,Radhakishan Damani,1/1/1955,69,Male,India,India,Mumbai,Fashion & Retail,['Fashion & Retail'],,,TRUE,Increased
2024,4,108,16.9 B,Fredriksen,John,John Fredriksen,2/1/1945,79,Male,Cyprus,United Kingdom,London,Logistics,['Logistics'],,Investor,TRUE,Increased
2024,4,109,16.8 B,Li,Eric,Eric Li,6/1/1963,60,Male,China,China,Hangzhou,Automotive,['Automotive'],,,TRUE,Decreased
2024,4,110,16.6 B,Persson,Stefan,Stefan Persson,10/4/1947,76,Male,Sweden,Sweden,Stockholm,Fashion & Retail,['Fashion & Retail'],Hennes & Mauritz Unsponsored ADR,Chairman,FALSE,Increased
2024,4,111,16.5 B,Ratcliffe,James,James Ratcliffe,1/1/1953,71,Male,United Kingdom,United Kingdom,London,Manufacturing,['Manufacturing'],,,TRUE,Decreased
2024,4,111,16.5 B,Triguboff,Harry,Harry Triguboff,3/3/1933,91,Male,Australia,Australia,Sydney,Real Estate,['Real Estate'],,,TRUE,Increased
2024,4,113,16.4 B,Lemann,Jorge Paulo,Jorge Paulo Lemann & family,8/26/1939,84,Male,Brazil,Switzerland,Zurich,Food & Beverage,['Food & Beverage'],,"Investor, Philanthropist",TRUE,Increased
2024,4,113,16.4 B,Mittal,Lakshmi,Lakshmi Mittal,6/15/1950,73,Male,India,United Kingdom,London,Metals & Mining,['Metals & Mining'],,,FALSE,Decreased
2024,4,115,16.2 B,Jaipuria,Ravi,Ravi Jaipuria,11/28/1954,69,Male,India,India,Delhi,Food & Beverage,['Food & Beverage'],,,FALSE,Increased
2024,4,115,16.2 B,Kroenke,Stanley,Stanley Kroenke,7/29/1947,76,Male,United States,United States,Electra,Sports,['Sports'],,,TRUE,Increased
2024,4,117,16.1 B,Koum,Jan,Jan Koum,2/24/1976,48,Male,United States,United States,Atherton,Technology,['Technology'],WhatsApp Inc.,"CEO, cofounder",TRUE,Increased
2024,4,118,15.9 B,Albrecht Jr.,Karl,Karl Albrecht Jr. & family,1/1/1948,76,Male,Germany,Germany,,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,118,15.9 B,Heister,Beate,Beate Heister,1/1/1951,73,Female,Germany,,,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,120,15.8 B,Ofer,Idan,Idan Ofer,10/2/1955,68,Male,Israel,United Kingdom,London,Diversified,['Diversified'],,,FALSE,Increased
2024,4,121,15.6 B,Puech,Nicolas,Nicolas Puech,1/29/1943,81,Male,France,Switzerland,Martigny,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,122,15.5 B,Durov,Pavel,Pavel Durov,10/10/1984,39,Male,United Arab Emirates,United Arab Emirates,Dubai,Technology,['Technology'],,,TRUE,Increased
2024,4,122,15.5 B,Qin,Yinglin,Qin Yinglin,4/17/1965,58,Male,China,China,Nanyang,Food & Beverage,['Food & Beverage'],,,TRUE,Decreased
2024,4,124,15.4 B,Dalio,Ray,Ray Dalio,8/8/1949,74,Male,United States,United States,Greenwich,Finance & Investments,['Finance & Investments'],Bridgewater Associates,Founder & CIO Mentor,TRUE,Decreased
2024,4,125,15.3 B,Anschutz,Philip,Philip Anschutz,12/28/1939,84,Male,United States,United States,Denver,Finance & Investments,['Finance & Investments'],,,FALSE,Increased
2024,4,126,15.1 B,Lauder,Leonard,Leonard Lauder,3/19/1933,91,Male,United States,United States,New York,Fashion & Retail,['Fashion & Retail'],The Estée Lauder Companies,Chairman Emeritus,FALSE,Decreased
2024,4,126,15.1 B,Li,Xiting,Li Xiting,1/1/1951,73,Male,Singapore,China,Shenzhen,Healthcare,['Healthcare'],,,TRUE,Decreased
2024,4,126,15.1 B,Woo,Peter,Peter Woo,9/5/1946,77,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,FALSE,Decreased
2024,4,129,14.8 B,von Bechtolsheim,Andreas,Andreas von Bechtolsheim & family,9/30/1955,68,Male,Germany,United States,Palo Alto,Technology,['Technology'],Arista Networks,"Cofounder, Chief Development Officer and Chairman",TRUE,Increased
2024,4,130,14.6 B,Kaiser,George,George Kaiser,7/29/1942,81,Male,United States,United States,Tulsa,Energy,['Energy'],BOK Financial,Chairman,FALSE,Increased
2024,4,131,14.2 B,Wang,Chuanfu,Wang Chuanfu,2/15/1966,58,Male,China,China,Shenzhen,Automotive,['Automotive'],,,TRUE,Decreased
2024,4,132,14.1 B,de Carvalho-Heineken,Charlene,Charlene de Carvalho-Heineken & family,6/30/1954,69,Female,Netherlands,United Kingdom,London,Food & Beverage,['Food & Beverage'],,,FALSE,Decreased
2024,4,132,14.1 B,Duffield,David,David Duffield,9/21/1940,83,Male,United States,United States,Incline Village,Technology,['Technology'],Workday,Chairman and Cofounder,TRUE,Increased
2024,4,132,14.1 B,Samueli,Henry,Henry Samueli,9/20/1954,69,Male,United States,United States,Newport Beach,Technology,['Technology'],Broadcom,"Cofounder, Chief Technology Officer and Chairman",TRUE,Increased
2024,4,135,14.0 B,Albrecht,Theo,"Theo Albrecht, Jr. & family",1/1/1951,73,Male,Germany,Germany,Mulheim an der Ruhr,Fashion & Retail,['Fashion & Retail'],,,FALSE,Decreased
2024,4,135,14.0 B,Black,Leon,Leon Black,7/31/1951,72,Male,United States,United States,New York,Finance & Investments,['Finance & Investments'],,,TRUE,Increased
2024,4,137,13.8 B,Jones,Jerry,Jerry Jones,10/13/1942,81,Male,United States,United States,Dallas,Sports,['Sports'],Dallas Cowboys,President and General Manager,TRUE,Increased
2024,4,137,13.8 B,Wang,Wei,Wang Wei,10/1/1970,53,Male,China,China,Shenzhen,Service,['Service'],,,TRUE,Decreased
2024,4,139,13.7 B,Green,David,David Green & family,11/13/1941,82,Male,United States,United States,Oklahoma City,Fashion & Retail,['Fashion & Retail'],Hobby Lobby,CEO,TRUE,Decreased
2024,4,140,13.6 B,Dyson,James,James Dyson,5/2/1947,76,Male,United Kingdom,United Kingdom,Gloucestershire,Manufacturing,['Manufacturing'],,,TRUE,Increased
2024,4,140,13.6 B,Sun,David,David Sun,10/12/1951,72,Male,United States,United States,Irvine,Technology,['Technology'],Kingston Technology Corporation,COO,TRUE,Increased
2024,4,140,13.6 B,Tu,John,John Tu,8/12/1941,82,Male,United States,United States,Rolling Hills,Technology,['Technology'],Kingston Technology Corporation,President,TRUE,Increased
2024,4,140,13.6 B,Walton,Christy,Christy Walton,2/8/1949,75,Female,United States,United States,Jackson,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,144,13.4 B,Dang,Yanbao,Dang Yanbao,2/1/1973,51,Male,China,China,Yinchuan,Metals & Mining,['Metals & Mining'],,,TRUE,Increased
2024,4,144,13.4 B,Dangote,Aliko,Aliko Dangote,4/10/1957,66,Male,Nigeria,Nigeria,Lagos,Manufacturing,['Manufacturing'],Dangote Group,CEO,TRUE,Decreased
2024,4,144,13.4 B,Salinas Pliego,Ricardo,Ricardo Salinas Pliego & family,10/19/1955,68,Male,Mexico,Mexico,Mexico City,Fashion & Retail,['Fashion & Retail'],,,FALSE,Increased
2024,4,144,13.4 B,Usmanov,Alisher,Alisher Usmanov,9/9/1953,70,Male,Russia,Uzbekistan,Tashkent,Metals & Mining,['Metals & Mining'],Metalloinvest,Founder,TRUE,Decreased
2024,4,148,13.3 B,Cannon-Brookes,Mike,Mike Cannon-Brookes,11/17/1979,44,Male,Australia,Australia,Sydney,Technology,['Technology'],,,TRUE,Increased
2024,4,148,13.3 B,Kotak,Uday,Uday Kotak,3/15/1959,65,Male,India,India,Mumbai,Finance & Investments,['Finance & Investments'],,,TRUE,Increased
2024,4,150,13.1 B,Fridman,Mikhail,Mikhail Fridman,4/21/1964,59,Male,Russia,Russia,,Energy,['Energy'],,,TRUE,Increased
2024,4,150,13.1 B,Lau,Joseph,Joseph Lau,7/21/1951,72,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,['Real Estate'],,,TRUE,Decreased
2024,4,152,13.0 B,Farquhar,Scott,Scott Farquhar,12/17/1979,44,Male,Australia,Australia,Sydney,Technology,['Technology'],,,TRUE,Increased
2024,4,153,12.8 B,Powell Jobs,Laurene,Laurene Powell Jobs & family,11/6/1963,60,Female,United States,United States,Palo Alto,Technology,['Technology'],Emerson Collective,"Investor, Philanthropist",FALSE,Increased
2024,4,154,12.7 B,Goh,Cheng Liang,Goh Cheng Liang,6/27/1927,96,Male,Singapore,Singapore,Singapore,Manufacturing,['Manufacturing'],,,TRUE,Decreased
2024,4,154,12.7 B,Roberts,George,George Roberts,9/14/1943,80,Male,United States,United States,Atherton,Finance & Investments,['Finance & Investments'],,,TRUE,Increased
